ФИО,ИНН,Номер телефона,Электронная почта,Дата рождения,Достижения
Иванов Иван Иванович,772456789012,+79165558219,aleksandr.ivanov1985@yandex.ru,12.05.1988,Помощь в организации благотворительного забега
Петров Петр Петрович,500123456789,+79251234567,mariya.petrova2000@yandex.ru,28.02.2001,Сбор средств для местного приюта для животных
Сидоров Сидор Сидорович,667101122334,+79039876543,sergey.smirnov77@yandex.ru,03.09.1975,Участие в уборке парка
Смирнов Алексей Иванович,780234567890,+79682345678,elena.kuznetsova92@yandex.ru,16.07.1992,Организация мастер-класса для детей из малообеспеченных семей
Кузнецов Дмитрий Петрович,230987654321,+79853456789,dmitriy.vasiliev88@yandex.ru,21.11.2005,Помощь пожилым людям с покупками
Попов Сергей Сидорович,345678901234,+79154567890,natalia.popova75@yandex.ru,08.04.1963,Проведение занятий по английскому языку для мигрантов
Васильев Андрей Алексеевич,456789012345,+79265678901,andrey.sokolov63@yandex.ru,19.10.1981,Участие в акции по сдаче крови
Федоров Михаил Дмитриевич,567890123456,+79056789012,olga.lebedeva99@yandex.ru,05.01.2010,Организация концерта в доме престарелых
Соколов Александр Сергеевич,678901234567,+79677890123,ivan.egorov51@yandex.ru,30.06.1997,Помощь в проведении фестиваля уличной еды в поддержку бездомных
Михайлов Николай Андреевич,789012345678,+79808901234,tatiana.volkova86@yandex.ru,14.03.1958,Сбор одежды для нуждающихся
Новиков Владимир Михайлович,890123456789,+79109012345,aleksey.zaitsev44@yandex.ru,25.08.2009,Участие в восстановлении исторического здания
Дмитриев Юрий Николаевич,901234567890,+79290123456,svetlana.stepanova71@yandex.ru,10.12.1970,Организация экскурсии для детей-сирот
Волков Игорь Владимирович,123456789012,+79091234567,nikolay.pavlov59@yandex.ru,01.02.1985,Помощь в проведении спортивных соревнований для людей с инвалидностью
Зайцев Евгений Юрьевич,234567890123,+79602345678,irina.semenova83@yandex.ru,23.04.2002,Сбор игрушек для детской больницы
Лебедев Олег Игоревич,476427933339,+79813456789,pavel.vinogradov67@yandex.ru,07.09.1967,Участие в посадке деревьев
Семенов Павел Евгеньевич,348742841561,+79114567890,yulia.fedotova95@yandex.ru,18.05.1999,Организация праздника для детей с особыми потребностями
Егоров Антон Олегович,975479179801,+79225678901,artem.filatov48@yandex.ru,29.01.2015,Помощь в проведении переписи населения
Павлов Роман Павлович,018598378774,+79026789012,oksana.frolova79@yandex.ru,11.11.1978,Сбор продуктов для нуждающихся семей
Козлов Денис Антонович,976547712530,+79617890123,denis.gavrilov61@yandex.ru,04.07.1994,Участие в археологических раскопках
Степанов Артем Романович,036190528982,+79828901234,anna.ignatova89@yandex.ru,20.03.1961,Организация лекции о здоровом образе жизни
Николаев Максим Денисович,394467721275,+79129012345,vladimir.kozlov55@yandex.ru,26.06.2007,Помощь в проведении экологической акции
Андреев Кирилл Артемович,782549956270,+79230123456,ksenia.nikitina73@yandex.ru,09.10.1983,Сбор книг для библиотеки
Яковлев Илья Максимович,399140246445,+79041234567,roman.orlov46@yandex.ru,02.12.1955,Участие в реставрации картин
Александров Владислав Кириллович,640127132713,+79622345678,alla.polyakova81@yandex.ru,15.02.2000,Организация игрового дня для детей в больнице
Григорьев Никита Ильич,215418767746,+79833456789,egor.sidorov65@yandex.ru,27.08.1973,Помощь в проведении фестиваля национальных культур
Богданов Даниил Владиславович,473783493876,+79134567890,galina.tikhonova93@yandex.ru,13.04.1990,Сбор канцелярских товаров для школы-интерната
Сергеев Тимофей Никитич,987329127304,+79245678901,ilya.ustinov42@yandex.ru,22.11.2003,Участие в создании мурала
Жуков Арсений Даниилович,644931741635,+79066789012,zhanna.filippova77@yandex.ru,06.01.1965,Организация конкурса талантов для молодежи
Воробьев Матвей Тимофеевич,575030220907,+79637890123,konstantin.khokhlov60@yandex.ru,17.07.1986,Помощь в проведении конференции
Морозов Лев Арсеньевич,277612141724,+79848901234,larisa.tsvetkova87@yandex.ru,24.03.2012,Сбор средств на лечение ребенка
Филиппов Егор Матвеевич,167896313921,+79149012345,maksim.chebotarev53@yandex.ru,31.05.1976,Участие в организации выставки
Герасимов Ярослав Львович,951582522792,+79270123456,nadezhda.shcherbakova70@yandex.ru,10.09.1993,Организация кинопоказа под открытым небом
Крылов Иван Егорович,324120625702,+79081234567,oleg.yakovlev45@yandex.ru,03.02.1959,Помощь в проведении ярмарки
Белов Михаил Ярославович,425839759038,+79642345678,polina.antonova80@yandex.ru,19.08.2006,Сбор корма для бездомных животных
Виноградов Александр Иванович,462455242097,+79863456789,ruslan.belov64@yandex.ru,05.12.1980,Участие в создании веб-сайта для некоммерческой организации
Комаров Дмитрий Петрович,629710901439,+79174567890,sofia.vorobieva91@yandex.ru,21.04.1997,Организация танцевального мастер-класса
Беляев Сергей Сидорович,313568645031,+79285678901,timur.gorbunov40@yandex.ru,28.01.2014,Помощь в проведении опроса общественного мнения
Игнатов Андрей Алексеевич,920324745377,+79076789012,uliana.danilova75@yandex.ru,12.06.1979,Сбор средств для строительства детской площадки
Щербаков Михаил Дмитриевич,192223360091,+79657890123,fedor.efremov58@yandex.ru,04.10.1995,Участие в организации театрального представления
Савин Александр Сергеевич,552435310208,+79878901234,valentina.zhukova85@yandex.ru,20.02.1962,Организация кулинарного мастер-класса
Терентьев Николай Андреевич,856326774172,+79189012345,anton.zimin69@yandex.ru,26.07.2008,Помощь в проведении спортивного турнира
Романов Владимир Михайлович,742605316060,+79200123456,boris.kolesnikov97@yandex.ru,09.11.1984,Сбор средств на покупку инвалидной коляски
Архипов Юрий Николаевич,841111158864,+79001234567,vera.lopatina43@yandex.ru,02.01.1956,Участие в организации научного семинара
Ершов Игорь Владимирович,959849159767,+79662345678,gennadiy.mironov78@yandex.ru,15.03.2001,Организация музыкального концерта
Орлов Евгений Юрьевич,421835885141,+79883456789,darya.novikova62@yandex.ru,27.09.1974,Помощь в проведении фотовыставки
Борисов Олег Игоревич,197192728987,+79194567890,evgeniy.osipov90@yandex.ru,13.05.1991,Сбор средств на ремонт школы
Львов Павел Евгеньевич,356092641020,+79215678901,zinaida.rybakova56@yandex.ru,22.12.2004,Участие в организации литературного вечера
Куликов Антон Олегович,980101977291,+79016789012,igor.savelyev74@yandex.ru,06.02.1966,Организация шахматного турнира
Денисов Роман Павлович,128029013132,+79697890123,klara.tarasova47@yandex.ru,17.08.1987,Помощь в проведении конференции по экологии
Соловьев Денис Антонович,612355791231,+79898901234,leonid.ulyanov82@yandex.ru,24.04.2013,Сбор средств на покупку медицинского оборудования
Журавлев Артем Романович,970943817786,+79309012345,marina.voronina66@yandex.ru,31.06.1977,Участие в организации фестиваля воздушных змеев
Титов Максим Денисович,746208879669,+79310123456,nikita.gusev94@yandex.ru,10.10.1994,Организация мастер-класса по рукоделию
Мельников Кирилл Артемович,782723915292,+79321234567,olga.dementieva41@yandex.ru,03.03.1960,Помощь в проведении спортивного марафона
Власов Илья Максимович,691889617690,+79332345678,petr.ershov76@yandex.ru,19.09.2007,Сбор средств на строительство приюта для животных
Гаврилов Владислав Кириллович,908526504213,+79343456789,rita.zhdanova59@yandex.ru,05.01.1981,Участие в организации исторической реконструкции
Федотов Никита Ильич,392439772127,+79354567890,sergey.karpov86@yandex.ru,21.05.1998,Организация лекции по финансовой грамотности
Белоусов Даниил Владиславович,214598873959,+79365678901,tatyana.lykova70@yandex.ru,28.02.2015,Помощь в проведении экологической экспедиции
Гусев Тимофей Никитич,411165695132,+79376789012,viktor.maslov44@yandex.ru,12.07.1979,Сбор средств на покупку учебников
Смирнова Анна Ивановна,722035234957,+79387890123,yulia.nechaeva79@yandex.ru,04.11.1996,Участие в организации фестиваля уличного искусства
Иванова Мария Петровна,402607812239,+79398901234,aleksandr.panfilov63@yandex.ru,20.03.1963,Организация игрового дня для детей-беженцев
Петрова Елена Сидоровна,697197822519,+79409012345,dmitriy.sidorov40@yandex.ru,26.08.2009,Помощь в проведении переписи диких животных
Сидорова Ольга Алексеевна,704289377230,+79410123456,elena.titova75@yandex.ru,09.12.1985,Сбор средств на ремонт детского сада
Кузнецова Татьяна Дмитриевна,926855674828,+79421234567,ivan.fomin58@yandex.ru,02.02.1957,Участие в организации фестиваля короткометражных фильмов
Попова Наталья Сергеевна,382821063960,+79432345678,natalia.kharitonova85@yandex.ru,15.04.2002,Организация мастер-класса по фотографии
Васильева Ирина Андреевна,044804518591,+79443456789,andrey.tsarev69@yandex.ru,27.10.1975,Сбор средств на покупку протеза
Федорова Светлана Михайловна,770312345678,+79454567890,olga.chernova97@yandex.ru,13.06.1992,Участие в организации фестиваля этнической музыки
Соколова Юлия Николаевна,503456789012,+79465678901,aleksey.shishkin43@yandex.ru,22.01.2005,Организация лекции по кибербезопасности
Михайлова Екатерина Владимировна,662567890123,+79476789012,svetlana.yakovleva78@yandex.ru,06.03.1967,Помощь в проведении экологического мониторинга
Новикова Анастасия Юрьевна,781678901234,+79487890123,nikolay.andreev62@yandex.ru,17.09.1988,Сбор средств на покупку спортивного инвентаря
Дмитриева Виктория Игоревна,234789012345,+79498901234,irina.belyaeva90@yandex.ru,24.05.2014,Участие в организации фестиваля науки и техники
Волкова Ксения Евгеньевна,345890123456,+79509012345,pavel.golubev56@yandex.ru,31.07.1978,Организация игрового дня для детей из многодетных семей
Зайцева Полина Олеговна,456901234567,+79510123456,yulia.dmitrieva74@yandex.ru,10.11.1995,Помощь в проведении археологических исследований
Лебедева Дарья Павловна,567012345678,+79521234567,artem.egorov47@yandex.ru,03.04.1961,Сбор средств на ремонт библиотеки
Семенова Алиса Антоновна,678123456789,+79532345678,oksana.zhukova82@yandex.ru,19.10.2008,Участие в организации фестиваля документального кино
Егорова София Романовна,789234567890,+79543456789,denis.zaitsev66@yandex.ru,05.02.1982,Организация мастер-класса по актерскому мастерству
Павлова Елизавета Денисовна,890345678901,+79554567890,anna.ivanova94@yandex.ru,21.06.1999,Помощь в проведении спортивных соревнований по шахматам
Козлова Варвара Артемовна,901456789012,+79565678901,vladimir.kuznetsov41@yandex.ru,28.03.2016,Сбор средств на покупку слухового аппарата
Степанова Александра Максимовна,123567890123,+79576789012,ksenia.lebedeva76@yandex.ru,12.08.1980,Участие в организации фестиваля исторического кино
Николаева Валерия Кирилловна,234678901234,+79587890123,roman.mironov59@yandex.ru,04.12.1997,Организация лекции по первой помощи
Андреева Вероника Ильинична,345789012345,+79598901234,alla.nikolaeva86@yandex.ru,20.04.1964,Помощь в проведении экологической акции по очистке водоемов
Яковлева Ульяна Владиславовна,456890123456,+79709012345,egor.orlov70@yandex.ru,26.09.2010,Сбор средств на покупку развивающих игрушек
